Time,Sensor 1,Sensor 2,Counter,millis,,,,,,,,,,,,,,,,,,,,,
3:12:39 PM,0,0,0,,,,,,,,,,,,,,,,,,,,,,
3:12:40 PM,0,0,0,,,,,,,,,,,,,,,,,,,,,,
3:12:41 PM,0,0,0,,,,,,,,,,,,,,,,,,,,,,
3:12:42 PM,0,0,0,,,,,,,,,,,,,,,,,,,,,,
3:12:43 PM,0,0,0,,,,,,,,,,,,,,,,,,,,,,
3:12:44 PM,0,0,0,,,,,,,,,,,,,,,,,,,,,,
3:12:45 PM,0,0,1,,,,,,,,,,,,,,,,,,,,,,
3:12:46 PM,0,0,0,,,,,,,,,,,,,,,,,,,,,,
3:12:47 PM,0,0,0,,,,,,,,,,,,,,,,,,,,,,
3:12:48 PM,1,0,0,,,,,,,,,,,,,,,,,,,,,,
3:12:49 PM,1,1,0,,,,,,,,,,,,,,,,,,,,,,
3:12:50 PM,1,1,0,,,,,,,,,,,,,,,,,,,,,,
